EmpID,Department,Experience,Salary,Performance
1139,HR,11,75558,3
1140,Sales,28,148721,3
1141,IT,5,48381,4
1142,Sales,4,66455,5
1143,Marketing,3,122263,1
1144,Marketing,19,34018,5
1145,Marketing,20,41302,5
1146,Marketing,25,97506,4
1147,Marketing,18,71157,1
1148,Finance,15,84917,4
1149,HR,9,122738,1
1150,Marketing,17,126646,2
1151,IT,14,113122,1
1152,IT,15,54519,4
1153,IT,1,126809,5
1154,IT,21,117487,1
1155,Finance,22,86819,1
1156,IT,22,110910,3
1157,Marketing,3,101324,5
1158,Sales,16,35408,2
1159,IT,23,89379,4
1160,Finance,25,55053,2
1161,Finance,11,39446,5
1162,IT,12,30922,1
1163,Sales,10,128723,1
1164,IT,16,81356,5
1165,Finance,8,40789,1
1166,HR,6,127720,1
1167,Marketing,12,96656,1
1168,Finance,24,74028,4
1169,IT,28,94484,4
1170,Marketing,21,62154,3
1171,IT,8,112870,2
1172,IT,26,32336,5
1173,HR,28,133677,5
1174,Marketing,4,97779,5
1175,Marketing,26,49029,3
1176,HR,8,89201,4
1177,Finance,26,62265,3
1178,IT,28,132916,5
1179,Sales,18,142250,2
1180,IT,28,146553,1
1181,IT,28,73872,4
1182,Finance,5,76197,4
1183,IT,9,85180,3
1184,HR,4,53710,4
1185,HR,27,59486,5
1186,Marketing,22,101907,5
1187,Sales,17,101895,3
1188,IT,9,94435,5
1189,IT,1,70631,2
1190,Finance,21,131532,3
1191,HR,20,50103,2
1192,Sales,13,94772,1
1193,Marketing,28,44382,2
1194,HR,16,114291,1
1195,Marketing,29,131195,1
1196,Finance,13,33756,2
1197,Finance,14,50609,3
1198,IT,3,144074,5
1199,Sales,29,46478,5
1200,Marketing,6,130978,1
1201,HR,18,69666,1
1202,Finance,19,105683,3
1203,IT,5,129097,4
1204,IT,15,130420,2
1205,Marketing,25,101315,1
1206,Finance,2,107834,5
1207,Sales,10,44153,3
1208,Finance,24,139415,2
1209,Marketing,30,106325,3
1210,Marketing,18,139701,2
1211,Finance,27,42999,2
1212,Marketing,13,85318,1
1213,Finance,5,30814,3
1214,HR,23,145033,3
1215,Finance,24,106077,5
1216,Finance,1,120474,5
1217,Marketing,22,32443,1
1218,Marketing,1,105993,1
1219,IT,18,105916,4
1220,IT,15,103319,5
1221,HR,17,139777,2
1222,IT,11,47368,3
1223,Finance,21,45328,1
1224,Marketing,26,86942,3
1225,IT,25,121751,3
1226,IT,22,129131,4
1227,HR,27,57306,5
1228,HR,27,115451,1
1229,Finance,17,69915,3
1230,Marketing,13,67219,1
1231,HR,1,110879,2
1232,IT,2,141939,4
1233,Marketing,9,94644,2
1234,Marketing,3,90279,1
1235,IT,1,83028,1
1236,HR,21,134263,5
1237,IT,16,30126,3
1238,Marketing,23,82329,3
1239,Sales,6,57632,2
1240,Sales,28,137099,4
1241,Finance,17,95310,3
1242,IT,5,139945,5
1243,IT,5,85176,2
1244,Finance,6,149797,2
1245,Finance,3,116066,5
1246,Finance,21,135500,4
1247,Marketing,23,74327,5
1248,IT,5,98904,4
1249,Marketing,21,33797,5
1250,Finance,5,77882,5
1251,IT,10,43718,1
1252,Marketing,10,64560,2
1253,Marketing,19,106589,5
1254,Finance,17,52116,5
1255,IT,21,66244,3
1256,Finance,14,131721,2
1257,IT,9,31645,3
1258,Sales,14,77523,2
1259,HR,1,147718,3
1260,HR,19,49256,5
1261,HR,13,131376,5
1262,Finance,13,130158,1
1263,Sales,4,83173,3
1264,IT,30,67430,4
1265,Marketing,1,69282,1
1266,IT,17,149719,3
1267,Marketing,8,93374,3
1268,IT,2,98244,1
1269,Sales,28,41694,5
1270,Marketing,8,86264,3
1271,Finance,7,105060,5
1272,IT,26,127416,1
1273,IT,26,87545,5
1274,Marketing,2,148195,2
1275,Finance,22,69224,4
1276,Finance,22,132516,3
1277,Sales,3,127945,4
1278,Finance,27,43224,5
1279,Finance,18,70738,3
1280,Finance,12,55150,5
1281,HR,1,93731,2
1282,Sales,22,79688,1
1283,IT,12,129929,3
1284,Marketing,5,138618,2
1285,IT,30,103509,2
1286,Sales,30,38577,3
1287,Marketing,27,38070,5
1288,Sales,25,38666,2
1289,Finance,17,87761,4
1290,Marketing,16,66368,2
1291,Finance,15,36783,5
1292,IT,23,141530,5
1293,IT,15,71914,4
1294,Marketing,5,100507,2
1295,Marketing,21,109026,5
1296,Sales,14,145893,3
1297,Sales,2,141255,1
1298,Finance,11,140616,1
1299,Marketing,19,97526,1
1300,IT,7,100835,2
1301,Sales,6,75765,4
1302,Sales,28,49956,5
1303,IT,2,117895,3
1304,Sales,6,76240,3
1305,Finance,18,67148,2
1306,Marketing,2,124270,1
1307,IT,18,34757,2
1308,Marketing,30,49097,4
1309,Sales,15,40395,4
1310,Sales,27,46241,5
1311,IT,19,133892,5
1312,Finance,2,57696,4
1313,HR,20,145654,4
1314,IT,25,100480,4
1315,HR,6,76163,2
1316,HR,1,49816,4
1317,Finance,24,79840,3
1318,HR,15,132547,1
1319,HR,28,82853,4
1320,Finance,30,54917,1
1321,HR,23,126731,2
1322,HR,10,51566,1
1323,HR,19,105452,2
1324,IT,17,92823,3
1325,IT,5,50806,2
1326,IT,29,105520,2
1327,Finance,4,31759,5
1328,Sales,10,71949,4
1329,HR,24,122374,4
1330,HR,17,32482,3
1331,Finance,10,54442,3
1332,HR,17,63719,4
1333,IT,28,88066,5
1334,Sales,20,123501,4
1335,Marketing,24,32079,5
1336,HR,5,32717,3
1337,IT,2,89676,1
1338,Marketing,6,57952,3
1339,Sales,21,116444,3
1340,Marketing,2,72460,2
1341,IT,13,120397,2
1342,Marketing,30,102847,2
1343,Finance,11,123607,2
1344,Marketing,11,119106,5
1345,HR,16,48449,4
1346,HR,11,63536,1
1347,Finance,19,94077,3
1348,IT,15,68258,5
1349,HR,25,78302,1
1350,Sales,23,58865,5
1351,HR,23,36645,5
1352,HR,16,149771,3
1353,IT,11,68000,4
1354,Marketing,22,56737,2
1355,HR,16,41485,4
1356,Finance,8,68565,3
1357,Marketing,4,55522,3
1358,Sales,8,149614,3
1359,IT,4,95155,1
1360,Sales,24,85168,4
1361,Marketing,25,82487,4
1362,Marketing,3,42342,5
1363,Marketing,3,70806,5
1364,Sales,27,78770,5
1365,Marketing,29,108623,3
1366,Sales,18,133177,4
1367,Marketing,29,129785,3
1368,Finance,26,105629,1
1369,Marketing,19,82603,5
1370,Sales,19,142726,3
1371,HR,21,111974,3
1372,Marketing,5,135947,1
1373,HR,18,56399,2
1374,Finance,28,115382,4
1375,IT,10,111244,2
1376,Finance,29,139575,5
1377,Marketing,22,145520,3
1378,HR,21,140904,1
1379,HR,6,106534,1
1380,Sales,1,85106,4
1381,HR,5,142599,2
1382,Sales,9,60678,4
1383,IT,12,106218,3
1384,Marketing,26,93230,4
1385,Sales,14,144684,1
1386,IT,2,104055,1
1387,HR,17,86373,5
1388,HR,14,61480,5
1389,IT,26,115230,3
1390,HR,13,98836,2
1391,IT,27,102258,4
1392,Sales,9,69986,3
1393,Sales,26,54160,5
1394,IT,25,115595,4
1395,Sales,15,131358,5
1396,Sales,25,109111,4
1397,Sales,22,94929,2
1398,Finance,15,103506,3
1399,Marketing,24,64911,4
1400,HR,30,117127,1
1401,Finance,11,61821,1
1402,Sales,16,105039,4
1403,IT,29,90535,4
1404,Sales,17,143453,4
1405,Marketing,26,114458,1
1406,Sales,4,42175,1
1407,IT,1,149235,4
1408,Marketing,8,84771,5
1409,Sales,17,136660,5
1410,Marketing,3,116925,2
1411,HR,29,143374,3
1412,HR,20,96358,5
1413,Sales,15,47327,1
1414,Marketing,15,77057,5
1415,IT,24,36150,2
1416,Sales,22,34425,2
1417,HR,14,46032,3
1418,HR,26,32198,5
1419,Sales,28,90500,1
1420,Marketing,23,83394,1
1421,HR,14,50079,4
1422,Marketing,24,66220,1
1423,HR,2,71874,3
1424,HR,13,43859,3
1425,Finance,26,80460,1
1426,HR,14,61419,1
1427,IT,27,148865,4
1428,Sales,24,38705,1
1429,Sales,19,72880,4
1430,Marketing,7,53236,4
1431,HR,3,117955,1
1432,IT,15,115514,2
1433,Marketing,23,133145,2
1434,Finance,14,45358,4
1435,Marketing,11,129713,1
1436,Marketing,15,124914,2
1437,HR,28,132870,1
1438,Finance,13,106918,1
1439,Marketing,18,149179,1
1440,IT,26,146243,5
1441,IT,6,44596,1
1442,Sales,3,63572,5
1443,Finance,19,108757,4
1444,Finance,15,31279,2
1445,Sales,25,93197,2
1446,Marketing,23,141496,2
1447,Finance,5,92516,2
1448,IT,28,37083,2
1449,IT,10,139397,2
1450,HR,7,47771,2
1451,Finance,25,59975,4
1452,Marketing,17,75648,1
1453,Sales,7,78285,3
1454,Sales,22,49063,5
1455,Marketing,26,97642,3
1456,HR,30,120093,3
1457,Sales,12,144390,1
1458,Finance,25,116143,1
1459,HR,17,67599,1
1460,Finance,13,81920,2
1461,IT,20,58529,4
1462,HR,25,65954,2
1463,Sales,4,57856,4
1464,HR,10,32573,4
1465,HR,3,108344,3
1466,HR,9,65367,3
1467,HR,13,132337,4
1468,Finance,18,136732,4
1469,IT,15,129608,2
1470,Marketing,4,90774,2
1471,HR,15,53752,3
1472,Sales,22,85029,1
1473,HR,2,47685,4
1474,Sales,15,81693,2
1475,Finance,8,146739,3
1476,Sales,8,85961,2
1477,Marketing,17,136937,4
1478,IT,12,106908,4
1479,Sales,19,104532,5
1480,Sales,10,111994,1
1481,IT,9,86133,5
1482,Marketing,5,127425,3
1483,HR,6,91268,2
1484,Sales,20,122201,3
1485,IT,26,68243,4
1486,Finance,2,87384,5
1487,IT,27,61653,5
1488,Finance,24,56657,5
1489,Marketing,27,69952,3
1490,HR,13,52180,4
1491,IT,6,127432,2
1492,Sales,5,108411,2
1493,Marketing,25,31622,3
1494,IT,1,78756,5
1495,Sales,21,70809,1
1496,IT,22,46725,3
1497,Finance,21,91396,3
1498,IT,6,81226,4
1499,IT,6,136296,2
1500,IT,23,111182,3
