CustomerID,Gender,SeniorCitizen,Tenure,ContractType,InternetService,PaymentMethod,MonthlyCharges,StreamingTV,OnlineSecurity,TotalCharges,Churn
CUST0044,Female,0,4,Month-to-month,No,Bank transfer,116.65,No,No,466.6,Yes
CUST0045,Female,0,7,Two year,DSL,Credit card,82.81,No,No,579.67,No
CUST0046,Female,0,39,Two year,Fiber optic,Electronic check,113.06,No,Yes,4409.34,No
CUST0047,Female,0,13,Month-to-month,No,Mailed check,87.61,No,Yes,1138.93,No
CUST0048,Male,0,31,One year,No,Mailed check,50.72,Yes,Yes,1572.32,No
CUST0049,Female,0,71,One year,No,Credit card,57.0,No,No,4047.0,No
CUST0050,Female,0,63,Two year,Fiber optic,Credit card,75.05,No,No,4728.15,Yes
CUST0051,Male,0,56,Two year,Fiber optic,Electronic check,99.0,Yes,Yes,5544.0,Yes
CUST0052,Female,1,42,Two year,DSL,Bank transfer,51.8,Yes,Yes,2175.6,Yes
CUST0053,Male,0,61,Two year,Fiber optic,Credit card,77.97,No,Yes,4756.17,Yes
CUST0054,Female,0,42,Two year,Fiber optic,Credit card,54.56,No,No,2291.52,No
CUST0055,Male,1,56,One year,No,Credit card,101.58,Yes,Yes,5688.48,No
CUST0056,Female,0,36,Two year,Fiber optic,Credit card,66.67,No,No,2400.12,No
CUST0057,Female,0,68,Month-to-month,No,Mailed check,27.67,Yes,No,1881.56,No
CUST0058,Male,0,7,Month-to-month,No,Credit card,36.61,Yes,Yes,256.27,Yes
CUST0059,Male,0,54,One year,Fiber optic,Mailed check,26.11,No,Yes,1409.94,No
CUST0060,Male,0,1,Month-to-month,DSL,Credit card,69.93,Yes,No,69.93,Yes
CUST0061,Male,0,44,One year,DSL,Bank transfer,30.63,No,Yes,1347.72,No
CUST0062,Male,0,45,One year,Fiber optic,Electronic check,31.41,No,Yes,1413.45,No
CUST0063,Male,0,47,Month-to-month,DSL,Bank transfer,114.1,No,No,5362.7,Yes
CUST0064,Male,0,13,Two year,No,Credit card,107.27,Yes,No,1394.51,No
CUST0065,Male,0,22,Month-to-month,No,Credit card,65.21,No,No,1434.62,No
CUST0066,Female,0,21,Month-to-month,Fiber optic,Credit card,118.58,Yes,No,2490.18,Yes
CUST0067,Female,0,9,One year,DSL,Bank transfer,20.02,No,No,180.18,Yes
CUST0068,Male,0,26,Month-to-month,DSL,Credit card,81.4,No,Yes,2116.4,No
CUST0069,Female,1,9,One year,No,Bank transfer,81.64,Yes,No,734.76,No
CUST0070,Female,0,15,Two year,Fiber optic,Mailed check,65.74,No,No,986.1,Yes
CUST0071,Female,0,10,Two year,DSL,Electronic check,59.69,No,No,596.9,No
CUST0072,Female,0,42,Two year,Fiber optic,Electronic check,65.54,Yes,Yes,2752.68,No
CUST0073,Male,0,72,Month-to-month,DSL,Bank transfer,61.5,Yes,No,4428.0,No
CUST0074,Female,0,24,One year,No,Mailed check,93.05,Yes,No,2233.2,No
CUST0075,Male,1,49,Two year,No,Bank transfer,33.54,No,No,1643.46,No
CUST0076,Female,1,26,One year,Fiber optic,Mailed check,39.76,Yes,Yes,1033.76,No
CUST0077,Female,0,37,One year,No,Credit card,38.05,Yes,No,1407.85,No
CUST0078,Female,1,68,Two year,DSL,Mailed check,46.25,No,No,3145.0,No
CUST0079,Male,0,50,Two year,No,Mailed check,72.53,Yes,No,3626.5,No
CUST0080,Female,0,24,One year,Fiber optic,Mailed check,31.12,No,Yes,746.88,No
CUST0081,Male,0,19,Two year,Fiber optic,Electronic check,106.82,No,Yes,2029.58,No
CUST0082,Female,1,60,One year,Fiber optic,Mailed check,49.74,Yes,Yes,2984.4,No
CUST0083,Male,0,39,One year,DSL,Credit card,36.25,No,Yes,1413.75,No
CUST0084,Female,0,18,Two year,DSL,Credit card,87.56,Yes,No,1576.08,No
CUST0085,Male,0,19,Month-to-month,DSL,Credit card,23.81,Yes,No,452.39,No
CUST0086,Male,0,36,Two year,DSL,Mailed check,82.0,Yes,Yes,2952.0,No
CUST0087,Female,0,55,Month-to-month,DSL,Bank transfer,89.82,Yes,Yes,4940.1,Yes
CUST0088,Male,0,69,One year,No,Bank transfer,41.49,No,No,2862.81,No
CUST0089,Female,0,47,One year,DSL,Credit card,24.2,No,No,1137.4,No
CUST0090,Female,0,49,Month-to-month,DSL,Electronic check,56.36,Yes,Yes,2761.64,Yes
CUST0091,Female,0,33,One year,No,Bank transfer,29.86,Yes,Yes,985.38,Yes
CUST0092,Female,0,21,Month-to-month,DSL,Mailed check,31.65,No,Yes,664.65,No
CUST0093,Female,0,22,Month-to-month,Fiber optic,Bank transfer,45.43,Yes,Yes,999.46,Yes
CUST0094,Female,0,48,One year,DSL,Credit card,49.55,No,No,2378.4,No
CUST0095,Female,1,37,Month-to-month,DSL,Electronic check,73.0,Yes,Yes,2701.0,No
CUST0096,Female,0,15,Two year,Fiber optic,Bank transfer,87.84,No,Yes,1317.6,No
CUST0097,Female,0,35,Two year,Fiber optic,Bank transfer,79.28,No,No,2774.8,No
CUST0098,Female,0,71,One year,Fiber optic,Credit card,34.84,No,No,2473.64,No
CUST0099,Female,0,32,One year,Fiber optic,Electronic check,37.21,Yes,No,1190.72,No
CUST0100,Male,0,11,Month-to-month,DSL,Electronic check,107.88,Yes,No,1186.68,Yes
CUST0101,Male,0,10,Month-to-month,Fiber optic,Credit card,75.84,Yes,No,758.4,Yes
CUST0102,Female,0,57,Month-to-month,Fiber optic,Mailed check,106.99,Yes,Yes,6098.43,Yes
CUST0103,Female,0,25,Month-to-month,No,Bank transfer,57.15,Yes,Yes,1428.75,No
CUST0104,Female,0,2,Two year,Fiber optic,Mailed check,81.44,No,Yes,162.88,Yes
CUST0105,Female,0,64,Two year,Fiber optic,Bank transfer,72.37,No,No,4631.68,No
CUST0106,Female,0,35,One year,No,Bank transfer,51.91,No,Yes,1816.85,Yes
CUST0107,Female,0,7,Month-to-month,No,Mailed check,66.99,No,No,468.93,Yes
CUST0108,Female,0,18,Month-to-month,DSL,Credit card,70.25,No,Yes,1264.5,Yes
CUST0109,Female,0,67,One year,No,Credit card,40.08,No,Yes,2685.36,No
CUST0110,Male,0,42,Month-to-month,DSL,Bank transfer,51.5,No,No,2163.0,No
CUST0111,Female,0,39,Month-to-month,No,Credit card,99.14,Yes,No,3866.46,Yes
CUST0112,Male,0,41,Month-to-month,No,Bank transfer,111.58,No,Yes,4574.78,Yes
CUST0113,Female,0,24,Month-to-month,DSL,Credit card,55.98,Yes,Yes,1343.52,No
CUST0114,Female,0,60,Month-to-month,No,Bank transfer,50.7,No,Yes,3042.0,No
CUST0115,Male,1,46,One year,DSL,Credit card,39.52,No,Yes,1817.92,No
CUST0116,Female,1,19,Month-to-month,No,Electronic check,87.85,Yes,Yes,1669.15,No
CUST0117,Male,0,68,One year,Fiber optic,Mailed check,52.31,No,No,3557.08,No
CUST0118,Female,0,42,Month-to-month,No,Electronic check,118.77,Yes,No,4988.34,Yes
CUST0119,Female,1,32,Two year,DSL,Mailed check,52.57,No,No,1682.24,No
CUST0120,Male,0,39,Two year,No,Mailed check,59.41,Yes,No,2316.99,Yes
CUST0121,Female,0,36,Two year,DSL,Bank transfer,80.33,No,Yes,2891.88,No
CUST0122,Male,0,36,Two year,DSL,Mailed check,100.17,Yes,Yes,3606.12,No
CUST0123,Female,0,3,One year,Fiber optic,Electronic check,66.95,Yes,No,200.85,Yes
CUST0124,Male,0,8,One year,Fiber optic,Electronic check,62.27,No,Yes,498.16,No
CUST0125,Male,0,70,Month-to-month,DSL,Credit card,119.56,No,No,8369.2,Yes
CUST0126,Female,0,41,Two year,No,Electronic check,21.05,Yes,Yes,863.05,No
CUST0127,Female,0,68,One year,DSL,Credit card,109.51,No,Yes,7446.68,Yes
CUST0128,Male,0,13,Month-to-month,DSL,Mailed check,34.91,Yes,Yes,453.83,No
CUST0129,Female,0,49,Month-to-month,No,Electronic check,98.59,No,No,4830.91,Yes
CUST0130,Female,0,60,One year,No,Mailed check,81.79,Yes,No,4907.4,No
CUST0131,Female,0,2,Two year,No,Electronic check,54.18,No,No,108.36,No
CUST0132,Male,1,60,Month-to-month,No,Electronic check,107.39,Yes,No,6443.4,Yes
CUST0133,Male,0,5,Two year,DSL,Credit card,21.29,No,Yes,106.45,No
CUST0134,Male,0,44,Two year,DSL,Mailed check,42.67,Yes,Yes,1877.48,No
CUST0135,Male,0,27,Two year,Fiber optic,Electronic check,76.69,Yes,Yes,2070.63,No
CUST0136,Male,0,32,Month-to-month,DSL,Bank transfer,55.15,No,Yes,1764.8,No
CUST0137,Male,0,21,Two year,No,Mailed check,81.04,No,No,1701.84,No
CUST0138,Male,0,8,Month-to-month,Fiber optic,Mailed check,22.41,Yes,Yes,179.28,Yes
CUST0139,Male,0,72,Two year,No,Mailed check,31.65,Yes,Yes,2278.8,Yes
CUST0140,Male,0,50,Month-to-month,DSL,Credit card,32.71,Yes,Yes,1635.5,Yes
CUST0141,Female,0,67,Two year,Fiber optic,Bank transfer,38.93,Yes,No,2608.31,No
CUST0142,Male,0,44,One year,No,Mailed check,65.93,No,No,2900.92,No
CUST0143,Female,0,58,Two year,Fiber optic,Electronic check,95.21,Yes,No,5522.18,No
CUST0144,Female,0,3,Two year,Fiber optic,Electronic check,110.55,Yes,Yes,331.65,Yes
CUST0145,Female,0,70,Month-to-month,DSL,Credit card,103.54,Yes,No,7247.8,Yes
CUST0146,Male,1,2,Month-to-month,No,Electronic check,39.69,No,Yes,79.38,Yes
CUST0147,Male,0,44,Two year,Fiber optic,Mailed check,64.12,Yes,Yes,2821.28,No
CUST0148,Male,0,2,One year,Fiber optic,Electronic check,39.94,No,Yes,79.88,No
CUST0149,Male,0,35,One year,No,Mailed check,46.45,No,No,1625.75,No
CUST0150,Female,0,30,Month-to-month,Fiber optic,Electronic check,70.35,No,No,2110.5,No
CUST0151,Male,0,8,One year,Fiber optic,Bank transfer,26.81,No,Yes,214.48,No
CUST0152,Male,0,22,Two year,Fiber optic,Credit card,41.82,No,Yes,920.04,No
CUST0153,Male,0,44,Month-to-month,No,Credit card,113.54,No,No,4995.76,Yes
CUST0154,Male,0,58,Two year,No,Bank transfer,66.61,No,No,3863.38,No
CUST0155,Male,0,36,Month-to-month,No,Bank transfer,64.54,Yes,No,2323.44,Yes
CUST0156,Female,0,69,Month-to-month,No,Credit card,21.46,Yes,Yes,1480.74,Yes
CUST0157,Male,0,31,Month-to-month,DSL,Bank transfer,44.74,No,Yes,1386.94,Yes
CUST0158,Female,0,47,Month-to-month,Fiber optic,Mailed check,106.63,Yes,Yes,5011.61,Yes
CUST0159,Male,0,55,One year,No,Electronic check,36.46,Yes,No,2005.3,No
CUST0160,Female,0,62,Two year,Fiber optic,Credit card,61.51,No,No,3813.62,No
CUST0161,Male,0,30,Two year,Fiber optic,Bank transfer,21.43,Yes,No,642.9,No
CUST0162,Male,1,55,Two year,DSL,Mailed check,67.83,No,Yes,3730.65,No
CUST0163,Female,0,16,Month-to-month,No,Credit card,22.1,Yes,Yes,353.6,No
CUST0164,Female,0,12,One year,No,Bank transfer,101.96,No,No,1223.52,No
CUST0165,Female,0,17,Two year,Fiber optic,Credit card,102.49,No,Yes,1742.33,No
CUST0166,Male,0,16,One year,No,Bank transfer,98.77,Yes,No,1580.32,No
CUST0167,Female,0,12,Month-to-month,Fiber optic,Credit card,48.34,Yes,Yes,580.08,No
CUST0168,Male,0,8,Two year,Fiber optic,Mailed check,103.72,No,No,829.76,Yes
CUST0169,Male,0,3,One year,DSL,Mailed check,74.3,No,Yes,222.9,No
CUST0170,Female,0,16,Month-to-month,DSL,Electronic check,57.38,No,Yes,918.08,No
CUST0171,Female,0,30,One year,DSL,Credit card,82.53,Yes,No,2475.9,No
CUST0172,Male,1,23,Two year,Fiber optic,Electronic check,21.23,Yes,No,488.29,No
CUST0173,Male,0,5,Two year,No,Credit card,34.3,Yes,No,171.5,Yes
CUST0174,Female,0,65,Month-to-month,DSL,Bank transfer,94.23,Yes,No,6124.95,Yes
CUST0175,Female,0,30,Month-to-month,No,Bank transfer,44.42,No,No,1332.6,No
CUST0176,Female,1,21,Month-to-month,DSL,Electronic check,79.8,No,Yes,1675.8,Yes
CUST0177,Male,0,70,One year,DSL,Credit card,58.51,No,No,4095.7,No
CUST0178,Male,0,22,One year,Fiber optic,Electronic check,105.48,No,No,2320.56,No
CUST0179,Male,1,72,One year,DSL,Mailed check,115.24,Yes,No,8297.28,No
CUST0180,Male,1,32,Month-to-month,DSL,Electronic check,108.36,No,Yes,3467.52,Yes
CUST0181,Male,1,33,Two year,Fiber optic,Electronic check,47.06,No,No,1552.98,No
CUST0182,Male,0,16,Two year,No,Bank transfer,39.42,Yes,No,630.72,No
CUST0183,Female,0,38,One year,DSL,Electronic check,67.44,Yes,No,2562.72,Yes
CUST0184,Male,0,14,One year,Fiber optic,Credit card,20.73,No,Yes,290.22,Yes
CUST0185,Male,1,36,Two year,DSL,Bank transfer,22.58,Yes,Yes,812.88,Yes
CUST0186,Male,0,23,Two year,Fiber optic,Electronic check,75.33,No,No,1732.59,No
CUST0187,Female,0,66,One year,No,Mailed check,72.04,Yes,Yes,4754.64,No
CUST0188,Male,0,2,One year,No,Electronic check,119.46,Yes,No,238.92,Yes
CUST0189,Male,0,65,Two year,Fiber optic,Electronic check,40.18,No,Yes,2611.7,No
CUST0190,Female,0,67,Month-to-month,Fiber optic,Electronic check,45.81,Yes,No,3069.27,No
CUST0191,Male,0,52,One year,Fiber optic,Bank transfer,31.35,No,Yes,1630.2,No
CUST0192,Male,0,62,Two year,No,Credit card,111.75,Yes,No,6928.5,No
CUST0193,Male,0,23,Two year,DSL,Mailed check,97.78,Yes,No,2248.94,No
CUST0194,Male,0,26,Two year,No,Electronic check,102.23,Yes,Yes,2657.98,No
CUST0195,Male,0,68,Two year,Fiber optic,Credit card,110.28,Yes,No,7499.04,No
CUST0196,Female,0,55,Month-to-month,Fiber optic,Credit card,72.49,Yes,No,3986.95,No
CUST0197,Female,0,6,Two year,No,Bank transfer,65.12,No,No,390.72,No
CUST0198,Female,0,35,One year,Fiber optic,Mailed check,53.04,Yes,No,1856.4,Yes
CUST0199,Male,0,22,Month-to-month,No,Bank transfer,78.92,No,Yes,1736.24,No
CUST0200,Male,0,43,Two year,Fiber optic,Credit card,65.43,Yes,No,2813.49,No
CUST0201,Male,0,15,Month-to-month,DSL,Credit card,65.16,No,Yes,977.4,No
CUST0202,Female,0,60,One year,DSL,Credit card,113.69,Yes,Yes,6821.4,No
CUST0203,Male,0,12,Two year,Fiber optic,Bank transfer,118.4,No,Yes,1420.8,No
CUST0204,Male,0,49,One year,No,Mailed check,99.65,No,Yes,4882.85,No
CUST0205,Female,0,42,Two year,DSL,Electronic check,95.68,Yes,No,4018.56,No
CUST0206,Male,1,38,Two year,No,Bank transfer,88.06,Yes,No,3346.28,No
CUST0207,Female,0,45,Two year,Fiber optic,Credit card,36.61,Yes,Yes,1647.45,No
CUST0208,Female,1,35,Two year,No,Bank transfer,25.91,No,No,906.85,No
CUST0209,Female,0,30,Two year,DSL,Credit card,89.07,No,Yes,2672.1,No
CUST0210,Male,0,30,Month-to-month,No,Electronic check,92.88,Yes,No,2786.4,Yes
CUST0211,Male,0,6,Two year,No,Electronic check,24.7,Yes,No,148.2,Yes
CUST0212,Male,0,67,Two year,Fiber optic,Mailed check,112.81,No,No,7558.27,No
CUST0213,Male,0,7,Month-to-month,Fiber optic,Credit card,29.11,No,Yes,203.77,Yes
CUST0214,Male,0,52,Month-to-month,Fiber optic,Mailed check,48.59,Yes,Yes,2526.68,No
CUST0215,Male,0,14,Month-to-month,DSL,Mailed check,87.24,No,No,1221.36,No
CUST0216,Male,1,15,Month-to-month,DSL,Electronic check,36.99,Yes,Yes,554.85,No
CUST0217,Female,1,21,Month-to-month,Fiber optic,Bank transfer,25.54,Yes,Yes,536.34,Yes
CUST0218,Male,1,35,Month-to-month,Fiber optic,Bank transfer,53.11,Yes,No,1858.85,Yes
CUST0219,Female,0,66,Two year,DSL,Mailed check,96.6,No,Yes,6375.6,No
CUST0220,Male,0,2,Two year,DSL,Electronic check,61.37,No,No,122.74,No
CUST0221,Male,1,35,One year,DSL,Credit card,85.3,No,No,2985.5,No
CUST0222,Male,0,20,Two year,DSL,Bank transfer,77.96,No,No,1559.2,No
CUST0223,Female,0,10,Two year,Fiber optic,Mailed check,22.22,Yes,Yes,222.2,No
CUST0224,Female,0,25,Month-to-month,DSL,Bank transfer,118.85,No,No,2971.25,Yes
CUST0225,Female,0,66,Month-to-month,Fiber optic,Bank transfer,24.14,Yes,No,1593.24,No
CUST0226,Female,1,25,Two year,No,Credit card,116.78,Yes,Yes,2919.5,Yes
CUST0227,Male,0,54,One year,No,Electronic check,74.99,Yes,Yes,4049.46,No
CUST0228,Female,0,33,Month-to-month,DSL,Credit card,116.32,No,Yes,3838.56,Yes
CUST0229,Male,0,36,Two year,No,Electronic check,31.48,Yes,Yes,1133.28,Yes
CUST0230,Male,0,14,Two year,No,Bank transfer,69.04,Yes,No,966.56,No
CUST0231,Female,0,65,One year,No,Mailed check,36.95,No,Yes,2401.75,No
CUST0232,Female,1,54,One year,DSL,Credit card,25.1,Yes,Yes,1355.4,No
CUST0233,Female,0,52,Month-to-month,DSL,Electronic check,81.75,No,Yes,4251.0,No
CUST0234,Female,0,3,One year,No,Bank transfer,40.78,No,Yes,122.34,Yes
CUST0235,Female,0,41,Two year,Fiber optic,Electronic check,78.77,No,No,3229.57,No
CUST0236,Female,1,6,Two year,No,Electronic check,31.24,Yes,Yes,187.44,No
CUST0237,Female,0,25,One year,DSL,Electronic check,53.2,No,No,1330.0,No
CUST0238,Female,1,13,One year,DSL,Bank transfer,98.16,No,Yes,1276.08,Yes
CUST0239,Male,0,8,One year,DSL,Mailed check,63.71,No,No,509.68,No
CUST0240,Female,0,21,One year,No,Mailed check,82.77,No,No,1738.17,No
CUST0241,Female,0,68,Month-to-month,Fiber optic,Mailed check,84.75,Yes,Yes,5763.0,No
CUST0242,Male,0,25,One year,DSL,Electronic check,104.38,No,No,2609.5,No
CUST0243,Female,0,68,Month-to-month,DSL,Bank transfer,52.49,Yes,Yes,3569.32,No
CUST0244,Male,0,45,Two year,No,Electronic check,88.73,No,No,3992.85,No
CUST0245,Male,0,60,One year,Fiber optic,Mailed check,116.16,Yes,No,6969.6,No
CUST0246,Female,1,12,Month-to-month,No,Mailed check,93.02,No,No,1116.24,Yes
CUST0247,Male,0,32,One year,DSL,Bank transfer,68.99,Yes,Yes,2207.68,No
CUST0248,Male,0,13,Two year,Fiber optic,Electronic check,83.07,No,No,1079.91,Yes
CUST0249,Male,1,31,Two year,Fiber optic,Credit card,93.97,Yes,Yes,2913.07,Yes
CUST0250,Male,0,20,Two year,DSL,Credit card,81.23,Yes,No,1624.6,No
CUST0251,Female,0,18,One year,Fiber optic,Mailed check,21.67,Yes,No,390.06,No
CUST0252,Male,1,60,One year,Fiber optic,Bank transfer,39.48,No,No,2368.8,No
CUST0253,Female,0,63,Month-to-month,No,Electronic check,101.05,Yes,No,6366.15,Yes
CUST0254,Male,0,6,Two year,DSL,Electronic check,47.27,Yes,No,283.62,No
CUST0255,Male,0,32,One year,DSL,Mailed check,93.16,Yes,No,2981.12,Yes
CUST0256,Male,0,43,Two year,DSL,Mailed check,57.21,Yes,Yes,2460.03,Yes
CUST0257,Male,0,2,Two year,DSL,Electronic check,72.19,No,Yes,144.38,Yes
CUST0258,Female,0,60,Month-to-month,DSL,Electronic check,26.8,Yes,Yes,1608.0,No
CUST0259,Female,1,23,Month-to-month,Fiber optic,Mailed check,38.12,Yes,No,876.76,No
CUST0260,Male,0,31,Month-to-month,No,Electronic check,115.72,Yes,Yes,3587.32,Yes
CUST0261,Male,0,5,Month-to-month,DSL,Credit card,109.01,No,No,545.05,Yes
CUST0262,Female,0,34,Two year,No,Mailed check,85.23,Yes,Yes,2897.82,No
CUST0263,Male,0,10,Month-to-month,No,Electronic check,65.96,Yes,Yes,659.6,Yes
CUST0264,Male,0,2,Month-to-month,Fiber optic,Mailed check,87.58,Yes,No,175.16,Yes
CUST0265,Male,0,11,Month-to-month,DSL,Bank transfer,81.86,Yes,No,900.46,Yes
CUST0266,Female,0,50,Month-to-month,Fiber optic,Mailed check,76.86,No,Yes,3843.0,No
CUST0267,Female,0,31,Two year,DSL,Mailed check,25.92,Yes,Yes,803.52,No
CUST0268,Female,1,56,Month-to-month,Fiber optic,Bank transfer,83.28,Yes,Yes,4663.68,No
CUST0269,Male,0,9,Two year,No,Credit card,96.89,No,Yes,872.01,Yes
CUST0270,Male,1,21,One year,DSL,Electronic check,119.41,No,No,2507.61,No
CUST0271,Female,0,28,Two year,No,Bank transfer,21.11,No,Yes,591.08,No
CUST0272,Female,1,62,Two year,No,Mailed check,93.02,Yes,No,5767.24,No
CUST0273,Female,0,7,Month-to-month,Fiber optic,Electronic check,77.18,No,No,540.26,Yes
CUST0274,Female,0,16,One year,DSL,Bank transfer,63.41,Yes,Yes,1014.56,No
CUST0275,Male,0,4,One year,No,Electronic check,32.76,No,No,131.04,No
CUST0276,Female,0,4,One year,Fiber optic,Electronic check,60.91,Yes,Yes,243.64,No
CUST0277,Male,0,40,One year,DSL,Bank transfer,55.44,No,No,2217.6,No
CUST0278,Female,0,17,Two year,DSL,Electronic check,50.28,Yes,No,854.76,No
CUST0279,Male,0,52,One year,No,Credit card,93.09,No,Yes,4840.68,No
CUST0280,Female,0,52,Two year,DSL,Bank transfer,90.07,Yes,No,4683.64,No
CUST0281,Female,0,36,Two year,No,Credit card,78.9,Yes,No,2840.4,No
CUST0282,Female,0,38,Two year,DSL,Mailed check,113.87,Yes,Yes,4327.06,No
CUST0283,Female,0,50,One year,Fiber optic,Electronic check,54.99,Yes,No,2749.5,No
CUST0284,Male,0,63,Month-to-month,No,Mailed check,44.38,Yes,No,2795.94,No
CUST0285,Female,0,63,Month-to-month,No,Mailed check,85.59,Yes,Yes,5392.17,No
CUST0286,Male,1,62,One year,DSL,Electronic check,39.88,Yes,Yes,2472.56,No
CUST0287,Male,0,7,Month-to-month,DSL,Bank transfer,51.5,Yes,No,360.5,Yes
CUST0288,Male,0,27,Month-to-month,No,Electronic check,42.46,No,No,1146.42,No
CUST0289,Male,0,14,Two year,DSL,Mailed check,26.92,Yes,No,376.88,Yes
CUST0290,Female,1,71,Two year,Fiber optic,Mailed check,102.75,Yes,Yes,7295.25,No
CUST0291,Male,0,5,One year,DSL,Bank transfer,45.45,No,No,227.25,No
CUST0292,Male,0,55,One year,Fiber optic,Electronic check,67.3,Yes,No,3701.5,No
CUST0293,Male,0,2,Month-to-month,Fiber optic,Mailed check,24.33,No,No,48.66,Yes
CUST0294,Female,0,62,Two year,Fiber optic,Credit card,89.93,Yes,No,5575.66,No
CUST0295,Female,0,21,One year,Fiber optic,Mailed check,53.06,No,No,1114.26,Yes
CUST0296,Female,1,21,One year,Fiber optic,Mailed check,94.47,No,No,1983.87,No
CUST0297,Female,1,10,One year,DSL,Bank transfer,61.24,Yes,Yes,612.4,No
CUST0298,Male,0,58,One year,Fiber optic,Credit card,39.58,No,Yes,2295.64,No
CUST0299,Male,0,39,One year,DSL,Mailed check,71.32,Yes,No,2781.48,No
CUST0300,Female,1,5,One year,Fiber optic,Mailed check,33.05,Yes,No,165.25,No
CUST0301,Male,0,65,Month-to-month,No,Credit card,64.05,Yes,Yes,4163.25,No
CUST0302,Male,0,13,Two year,Fiber optic,Electronic check,51.73,Yes,Yes,672.49,Yes
CUST0303,Male,0,53,Two year,No,Electronic check,111.2,No,Yes,5893.6,No
CUST0304,Female,0,45,One year,Fiber optic,Mailed check,26.09,Yes,No,1174.05,No
