invoiceNo,CustomerID,StockCode,Quantity,UnitPrice,invoiceDate
10077,1012,S007,1,33.17,2025-10-25
10078,1013,S010,3,52.64,2025-02-15
10079,1013,S004,1,11.74,2025-07-25
10080,1013,S003,3,7.62,2025-06-24
10081,1013,S007,3,8.41,2025-11-17
10082,1014,S006,2,86.74,2025-08-03
10083,1014,S010,2,33.81,2025-07-24
10084,1014,S001,4,78.15,2025-05-06
10085,1014,S005,3,13.11,2025-05-13
10086,1014,S003,3,18.14,2025-03-13
10087,1014,S002,4,72.89,2025-06-18
10088,1014,S001,4,30.73,2025-06-21
10089,1014,S010,3,28.83,2025-04-27
10090,1014,S007,3,71.12,2025-05-22
10091,1015,S001,3,28.77,2025-08-30
10092,1015,S006,4,22.37,2025-09-03
10093,1015,S005,1,95.71,2025-12-23
10094,1015,S005,2,74.35,2025-11-08
10095,1016,S003,1,16.42,2025-08-02
10096,1016,S005,3,8.87,2025-12-21
10097,1016,S004,1,50.05,2025-11-04
10098,1016,S010,4,81.66,2025-10-15
10099,1017,S005,3,9.57,2025-11-08
10100,1017,S005,4,9.3,2025-12-02
10101,1017,S010,2,93.68,2025-11-09
10102,1017,S001,4,67.58,2025-07-05
10103,1017,S008,4,66.03,2025-04-04
10104,1017,S004,4,69.33,2025-09-07
10105,1017,S001,1,82.06,2025-09-10
10106,1017,S003,1,96.31,2025-07-10
10107,1018,S002,1,13.97,2025-11-22
10108,1018,S007,1,67.29,2025-03-17
10109,1018,S010,2,7.21,2025-05-14
10110,1018,S009,3,16.23,2025-06-05
10111,1018,S008,4,44.7,2025-06-04
10112,1018,S004,2,45.23,2025-10-17
10113,1019,S002,1,78.76,2025-04-21
10114,1019,S007,2,58.38,2025-08-15
10115,1019,S001,3,76.33,2025-12-09
10116,1019,S003,1,40.88,2025-10-19
10117,1019,S004,4,42.01,2025-05-17
10118,1020,S004,4,96.06,2025-11-19
10119,1020,S009,3,95.9,2025-08-10
10120,1020,S004,3,51.84,2026-01-04
10121,1020,S005,1,32.86,2025-10-17
10122,1020,S004,3,25.21,2025-06-20
10123,1021,S005,2,97.55,2025-06-30
10124,1021,S010,1,75.02,2025-12-31
10125,1021,S002,3,18.58,2025-12-29
10126,1022,S006,3,45.48,2025-11-05
10127,1022,S010,1,83.08,2025-08-12
10128,1022,S002,1,53.77,2025-06-27
10129,1022,S001,2,82.22,2025-07-11
10130,1022,S004,4,40.74,2025-09-30
10131,1022,S006,3,45.3,2025-11-27
10132,1023,S003,1,6.08,2025-06-24
10133,1023,S010,4,16.29,2025-09-26
10134,1023,S003,1,27.56,2025-02-19
10135,1023,S001,1,87.52,2025-08-28
10136,1023,S006,2,6.15,2025-06-15
10137,1023,S005,4,55.13,2025-07-28
10138,1023,S005,4,57.62,2025-09-09
10139,1023,S009,2,20.79,2025-03-10
10140,1023,S001,1,71.21,2025-03-04
10141,1024,S010,4,10.5,2025-03-27
10142,1024,S005,4,21.12,2025-08-18
10143,1024,S010,4,38.57,2025-08-26
10144,1024,S005,1,29.7,2025-09-09
10145,1024,S009,1,44.06,2025-08-07
10146,1024,S003,1,94.35,2025-10-21
10147,1024,S005,3,92.32,2025-11-26
10148,1024,S008,2,87.28,2025-03-25
10149,1024,S007,4,40.76,2025-03-20
10150,1025,S005,2,41.18,2025-07-13
10151,1025,S001,1,11.03,2025-10-27
10152,1025,S003,3,30.97,2025-05-02
10153,1025,S001,1,99.97,2025-01-23
10154,1025,S005,3,78.05,2025-10-03
10155,1025,S010,2,40.9,2025-07-01
10156,1025,S009,2,28.89,2025-04-12
10157,1025,S004,2,88.43,2025-07-09
10158,1025,S002,4,30.52,2025-11-01
10159,1026,S003,3,34.24,2025-06-23
10160,1026,S005,2,88.28,2025-04-20
10161,1026,S007,3,79.54,2025-06-17
10162,1026,S003,3,17.96,2025-05-02
10163,1027,S002,2,57.71,2025-07-08
10164,1027,S006,1,79.45,2025-12-06
10165,1027,S007,2,86.92,2025-05-01
10166,1027,S004,2,93.03,2025-08-12
10167,1027,S004,4,9.36,2025-12-30
10168,1027,S005,2,36.23,2025-12-19
10169,1027,S003,3,17.24,2025-11-22
10170,1027,S006,4,65.88,2025-10-01
10171,1028,S003,3,68.42,2025-11-04
10172,1028,S010,3,8.88,2025-06-23
10173,1028,S002,4,38.02,2025-04-28
10174,1029,S005,1,38.82,2025-06-21
10175,1029,S002,1,52.82,2025-08-05
10176,1029,S010,1,50.71,2025-09-01
10177,1029,S008,2,19.91,2026-01-20
10178,1029,S001,2,87.49,2025-08-07
10179,1029,S001,3,22.53,2025-06-28
10180,1029,S008,2,27.43,2026-01-13
10181,1029,S007,2,48.94,2025-07-18
10182,1030,S008,3,72.77,2025-11-28
10183,1030,S007,2,76.21,2025-09-13
10184,1030,S010,2,55.6,2026-02-23
10185,1030,S009,3,40.84,2025-06-09
10186,1030,S007,1,84.87,2025-12-13
10187,1030,S010,2,16.38,2025-08-19
10188,1030,S004,1,69.51,2025-10-17
10189,1030,S009,1,50.56,2025-07-31
10190,1031,S008,4,46.01,2025-05-18
10191,1031,S010,1,37.06,2025-07-06
10192,1031,S010,4,59.22,2025-10-11
10193,1031,S009,1,5.72,2025-11-29
10194,1031,S006,2,28.37,2026-01-16
10195,1031,S008,3,85.02,2025-04-18
10196,1031,S008,1,98.33,2025-12-13
10197,1031,S006,2,59.72,2025-11-23
10198,1032,S006,1,51.62,2025-07-15
10199,1032,S009,2,57.89,2025-05-04
10200,1032,S003,1,78.1,2025-03-29
10201,1032,S004,3,23.95,2025-06-29
10202,1032,S001,4,15.91,2025-03-23
10203,1032,S006,1,53.08,2025-06-01
10204,1032,S001,2,36.98,2025-11-17
10205,1032,S005,3,57.15,2025-03-13
10206,1032,S008,2,13.35,2025-03-16
10207,1033,S008,2,44.12,2026-01-28
10208,1033,S001,1,83.91,2025-08-10
10209,1033,S002,2,93.63,2025-12-30
10210,1034,S003,3,93.01,2025-05-23
10211,1034,S008,3,80.55,2025-05-07
10212,1034,S003,1,22.71,2025-12-03
10213,1034,S010,2,39.09,2025-05-25
10214,1035,S008,3,72.81,2026-03-01
10215,1035,S003,1,33.63,2026-02-21
10216,1035,S001,1,38.76,2025-06-01
10217,1036,S008,3,56.57,2025-05-28
10218,1036,S006,3,64.63,2025-08-30
10219,1036,S004,3,88.47,2025-03-27
10220,1036,S004,2,89.92,2025-11-29
10221,1036,S006,1,34.61,2025-07-20
10222,1036,S004,2,72.84,2025-11-29
10223,1036,S010,1,14.78,2025-02-18
10224,1037,S004,4,52.72,2025-12-16
10225,1037,S005,1,26.78,2025-09-27
10226,1037,S002,3,65.91,2025-11-03
10227,1037,S004,4,73.04,2026-01-12
10228,1037,S005,4,22.25,2026-02-21
10229,1037,S006,4,45.24,2025-06-21
10230,1038,S008,2,14.58,2025-09-19
10231,1038,S008,4,61.33,2025-06-04
10232,1038,S008,1,72.19,2025-06-26
10233,1038,S001,4,40.57,2025-05-30
10234,1038,S008,1,92.93,2025-04-05
10235,1039,S004,2,84.56,2025-05-03
10236,1039,S006,3,26.6,2025-01-14
10237,1039,S009,1,36.84,2025-06-11
10238,1039,S010,1,15.86,2025-05-10
10239,1039,S009,2,92.39,2025-09-14
10240,1039,S002,3,47.96,2025-08-11
10241,1039,S003,2,21.76,2025-09-21
10242,1040,S001,1,60.16,2025-09-13
10243,1040,S010,4,25.2,2025-09-02
10244,1040,S007,1,96.3,2025-05-24
10245,1040,S004,2,86.76,2025-09-29
10246,1040,S008,1,33.46,2025-06-07
10247,1040,S007,3,24.94,2025-11-15
10248,1040,S001,1,40.88,2025-11-02
10249,1041,S003,3,55.13,2025-06-03
10250,1041,S002,2,58.17,2025-07-08
10251,1041,S001,4,86.87,2025-07-27
10252,1042,S001,3,98.0,2025-08-18
10253,1042,S002,3,67.6,2025-12-22
10254,1042,S003,4,23.63,2025-11-11
10255,1042,S008,2,37.23,2025-11-19
10256,1043,S008,2,81.5,2025-08-07
10257,1043,S008,2,83.87,2025-07-29
10258,1043,S006,1,43.61,2025-10-14
10259,1043,S010,3,74.91,2025-05-09
10260,1043,S003,4,22.24,2025-07-26
10261,1044,S004,3,29.65,2025-10-31
10262,1044,S007,3,30.47,2025-10-29
10263,1044,S005,2,78.51,2026-01-03
10264,1044,S005,4,25.85,2025-11-29
10265,1045,S001,2,58.75,2025-11-28
10266,1045,S007,4,22.3,2025-04-21
10267,1045,S001,2,75.46,2025-06-16
10268,1045,S009,3,25.71,2025-10-16
10269,1045,S004,2,54.94,2025-11-26
10270,1045,S002,3,69.9,2025-06-10
10271,1046,S004,1,31.04,2025-07-29
10272,1046,S005,1,52.26,2025-07-04
10273,1046,S007,1,6.04,2025-09-01
10274,1046,S009,3,88.02,2025-07-14
10275,1046,S002,4,65.14,2025-12-02
10276,1046,S001,2,43.42,2025-12-07
10277,1046,S010,2,9.46,2025-12-24
10278,1047,S003,1,62.3,2025-10-31
10279,1047,S005,3,32.43,2026-01-28
10280,1047,S001,3,33.23,2025-10-02
10281,1047,S006,2,42.68,2025-12-04
10282,1047,S006,2,74.59,2025-09-20
10283,1048,S004,3,61.53,2025-09-21
10284,1048,S010,2,15.13,2025-08-14
10285,1048,S008,1,44.22,2025-08-14
10286,1048,S008,2,48.67,2025-03-27
10287,1048,S003,2,80.94,2025-11-12
10288,1048,S003,2,5.5,2025-07-16
10289,1049,S001,1,80.05,2025-06-01
10290,1049,S007,1,22.59,2025-06-14
10291,1049,S008,3,74.56,2025-07-07
10292,1049,S001,3,73.79,2025-09-14
10293,1049,S008,1,90.82,2025-11-02
10294,1049,S010,1,94.69,2026-01-11
10295,1049,S010,4,92.9,2025-06-04
10296,1050,S007,2,16.45,2025-10-28
10297,1050,S009,3,92.82,2025-02-27
10298,1050,S002,3,86.89,2025-09-23
10299,1050,S001,2,61.65,2025-06-03
10300,1050,S002,3,71.15,2025-06-08
10301,1050,S007,4,59.38,2025-08-22
10302,1050,S006,1,75.1,2025-02-24
10303,1050,S010,4,27.13,2025-07-31
